,time,H,Qin,Qout,rain
0,09/12 10:00,72.0,18.0,18.0,0.0
1,09/12 10:15,72.0,18.0,18.0,0.0
2,09/12 10:30,72.0,18.0,18.0,0.0
3,09/12 10:45,72.0,18.0,18.0,0.0
4,09/12 11:00,72.0,18.0,18.0,0.0
5,09/12 11:15,72.0,18.0,18.0,0.0
6,09/12 11:30,72.0,18.0,18.0,0.0
7,09/12 11:45,72.0,18.0,18.0,0.0
8,09/12 12:00,72.0,18.0,18.0,0.0
9,09/12 12:15,72.0,18.0,18.0,0.0
10,09/12 12:30,72.0,18.0,18.0,0.0
11,09/12 12:45,72.0,18.0,18.0,0.0
12,09/12 13:00,72.0,18.0,18.0,0.0
13,09/12 13:15,72.0,18.0,18.0,0.0
14,09/12 13:30,72.0,18.0,18.0,0.0
15,09/12 13:45,72.0,18.0,18.0,0.0
16,09/12 14:00,72.0,18.0,18.0,0.0
17,09/12 14:15,72.0,18.0,18.0,0.0
18,09/12 14:30,72.0,18.0,18.0,0.0
19,09/12 14:45,72.0,18.0,18.0,0.0
20,09/12 15:00,72.0,18.0,18.0,0.0
21,09/12 15:15,72.0,18.0,18.0,0.0
22,09/12 15:30,72.0,18.0,18.0,0.0
23,09/12 15:45,72.0,18.0,18.0,0.0
24,09/12 16:00,72.0,18.0,18.0,0.0
25,09/12 16:15,72.0,18.0,18.0,0.0
26,09/12 16:30,72.0,18.0,18.0,0.0
27,09/12 16:45,72.0,18.0,18.0,0.0
28,09/12 17:00,72.0,18.0,18.0,0.0
29,09/12 17:15,72.0,18.0,18.0,0.0
30,09/12 17:30,72.0,18.0,18.0,0.0
31,09/12 17:45,72.0,18.0,18.0,0.0
32,09/12 18:00,72.0,18.0,18.0,0.0
33,09/12 18:15,72.0,18.0,18.0,0.0
34,09/12 18:30,72.0,18.0,18.0,0.0
35,09/12 18:45,72.0,18.0,18.0,0.0
36,09/12 19:00,72.0,18.0,18.0,0.0
37,09/12 19:15,72.0,18.0,18.0,0.0
38,09/12 19:30,72.0,18.0,18.0,0.0
39,09/12 19:45,72.0,18.0,18.0,0.0
40,09/12 20:00,72.0,18.0,18.0,0.0
41,09/12 20:15,72.0,18.0,18.0,0.0
42,09/12 20:30,72.0,18.0,18.0,0.0
43,09/12 20:45,72.0,18.0,18.0,0.0
44,09/12 21:00,72.0,18.0,18.0,0.0
45,09/12 21:15,72.0,18.0,18.0,0.0
46,09/12 21:30,72.0,18.0,18.0,0.0
47,09/12 21:45,72.0,18.0,18.0,0.0
48,09/12 22:00,72.0,18.0,18.0,0.0
49,09/12 22:15,72.0,18.0,18.0,0.0
50,09/12 22:30,72.0,18.0,18.0,0.0
51,09/12 22:45,72.0,18.0,18.0,0.0
52,09/12 23:00,72.0,18.0,18.0,0.0
53,09/12 23:15,72.0,18.0,18.0,0.0
54,09/12 23:30,72.0,18.0,18.0,0.0
55,09/12 23:45,72.0,18.0,18.0,0.0
56,09/13 00:00,72.0,18.0,18.0,0.0
57,09/13 00:15,72.0,18.0,18.0,0.0
58,09/13 00:30,72.0,18.0,18.0,0.0
59,09/13 00:45,72.0,18.0,18.0,0.0
60,09/13 01:00,72.0,18.0,18.0,0.0
61,09/13 01:15,72.0,18.0,18.0,0.0
62,09/13 01:30,72.0,18.0,18.0,0.0
63,09/13 01:45,72.0,18.0,18.0,0.0
64,09/13 02:00,72.0,18.0,18.0,0.0
65,09/13 02:15,72.0,18.0,18.0,0.0
66,09/13 02:30,72.0,18.0,18.0,0.0
67,09/13 02:45,72.0,18.0,18.0,0.0
68,09/13 03:00,72.0,18.0,18.0,0.0
69,09/13 03:15,72.0,18.0,18.0,0.0
70,09/13 03:30,72.0,18.0,18.0,0.0
71,09/13 03:45,72.0,18.0,18.0,0.0
72,09/13 04:00,72.0,18.0,18.0,0.0
73,09/13 04:15,72.0,18.0,18.0,0.0
74,09/13 04:30,72.0,18.0,18.0,0.0
75,09/13 04:45,72.0,18.0,18.0,0.0
76,09/13 05:00,72.0,18.0,18.0,0.0
77,09/13 05:15,72.0,18.0,18.0,0.0
78,09/13 05:30,72.0,18.0,18.0,0.0
79,09/13 05:45,72.0,18.0,18.0,0.0
80,09/13 06:00,72.0,18.0,18.0,0.0
81,09/13 06:15,72.0,18.0,18.0,0.0
82,09/13 06:30,72.0,18.0,18.0,0.0
83,09/13 06:45,72.0,18.0,18.0,0.0
84,09/13 07:00,72.0,18.0,18.0,0.0
85,09/13 07:15,72.0,18.0,18.0,0.0
86,09/13 07:30,72.0,18.0,18.0,0.0
87,09/13 07:45,72.0,18.0,18.0,0.0
88,09/13 08:00,72.0,18.0,18.0,0.0
89,09/13 08:15,72.0,18.0,18.0,0.0
90,09/13 08:30,72.0,18.0,18.0,0.0
91,09/13 08:45,72.0,18.0,18.0,0.0
92,09/13 09:00,72.0,18.0,18.0,0.0
93,09/13 09:15,72.0,18.0,18.0,0.0
94,09/13 09:30,72.0,18.0,18.0,0.0
95,09/13 09:45,72.0,18.0,18.0,0.0
96,09/13 10:00,72.0,18.0,18.0,0.0
97,09/13 10:15,72.0,18.0,18.0,0.0
98,09/13 10:30,72.0,18.0,18.0,0.0
99,09/13 10:45,72.0,18.0,18.0,0.0
100,09/13 11:00,72.0,18.0,18.0,0.0
101,09/13 11:15,72.0,18.0,18.0,0.0
102,09/13 11:30,72.0,18.0,18.0,0.0
103,09/13 11:45,72.0,18.0,18.0,0.0
104,09/13 12:00,72.0,18.0,18.0,0.0
105,09/13 12:15,72.0,18.0,18.0,0.0
106,09/13 12:30,72.0,18.0,18.0,0.0
107,09/13 12:45,72.0,18.0,18.0,0.0
108,09/13 13:00,72.0,18.0,18.0,0.0
109,09/13 13:15,72.0,18.0,18.0,0.0
110,09/13 13:30,72.0,18.0,18.0,0.0
111,09/13 13:45,72.0,18.0,18.0,0.0
112,09/13 14:00,72.0,18.0,18.0,0.0
113,09/13 14:15,72.0,18.0,18.0,0.0
114,09/13 14:30,72.0,18.0,18.0,0.0
115,09/13 14:45,72.0,18.0,18.0,0.0
116,09/13 15:00,72.0,18.0,18.0,0.0
117,09/13 15:15,72.0,18.0,18.0,0.0
118,09/13 15:30,72.0,18.0,18.0,0.0
119,09/13 15:45,72.0,18.0,18.0,0.0
120,09/13 16:00,72.0,18.0,18.0,0.0
121,09/13 16:15,72.0,18.0,18.0,0.0
122,09/13 16:30,72.0,18.0,18.0,0.0
123,09/13 16:45,72.0,18.0,18.0,0.0
124,09/13 17:00,72.0,18.0,18.0,0.0
125,09/13 17:15,72.0,18.0,18.0,0.0
126,09/13 17:30,72.0,18.0,18.0,0.0
127,09/13 17:45,72.0,18.0,18.0,0.0
128,09/13 18:00,72.0,18.0,18.0,0.0
129,09/13 18:15,72.0,18.0,18.0,0.0
130,09/13 18:30,72.0,18.0,18.0,0.0
131,09/13 18:45,72.0,18.0,18.0,0.0
132,09/13 19:00,72.0,18.0,18.0,0.0
133,09/13 19:15,72.0,18.0,18.0,0.0
134,09/13 19:30,72.0,18.0,18.0,0.0
135,09/13 19:45,72.0,18.0,18.0,0.0
136,09/13 20:00,72.0,18.0,18.0,0.0
137,09/13 20:15,72.0,18.0,18.0,0.0
138,09/13 20:30,72.0,18.0,18.0,0.0
