H,Qout
45.1,0
45.2,0.474416629
45.3,1.358693948
45.4,2.526640393
45.5,3.936505585
45.6,5.565644715
45.7,7.39967465
45.8,9.428635468
45.9,11.6452362
46,14.04392691
46.1,16.62035793
46.2,19.37104207
46.3,22.29313221
46.4,25.38426871
46.5,28.64247119
47,47.3882538
47.5,70.13519929
48,96.8065759
48.5,132.9821591
49,183.7742099
49.5,242.0104489
50,307.808397
50.5,375.4443163
51,538.6078522
51.5,595.5418931
52,655.6488459
52.5,719.176328
53,786.9832388
53.5,867.3814014
54,947.1503955
54.5,1026.351232
55,1105.035694
55.5,1163.583574
56,1187.890191
56.5,1211.680721
57,1234.987569
57.5,1257.842729
58,1280.272306
58.5,1302.302947
59,1323.954198
59.5,1345.247782
60,1366.202849
60.5,1386.83417
61,1407.158308
61.5,1427.189761
62,1446.942084
62.5,1466.425995
63,1485.653464
63.5,1504.63479
64,1523.38067
64.5,1541.89926
65,1560.199224
65.5,1578.289781
66,1596.176748
66.5,1613.868571
67,1631.371359
67.5,1649.971915
68,1667.104756
68.5,1684.066142
69,1700.862091
69.5,1717.498401
70,1733.978664
70.5,1750.307283
71,1766.489487
71.5,1782.529339
72,1798.430751
72.5,1814.197493
73,1829.833203
73.5,1845.340396
74,1860.72347
74.5,1875.984715
75,1891.12832
75.5,1906.156377
76,1921.071891
76.5,1935.877779
77,1950.575881
77.5,1965.168962
78,1979.659714
78.5,1994.049764
79,2008.439814
79.5,2022.829864
80,2037.219914
80.5,2051.609964
81,2066.000014
81.5,2080.390064
82,2094.780114
82.5,2109.170164
83,2123.560214
83.5,2137.950264
84,2152.340314
84.5,2166.730364
85,2181.120414
85.5,2195.510464
86,2209.900514
86.5,2224.290564
87,2238.680614
87.5,2253.070664
88,2267.460714
88.5,2281.850764
89,2296.240814
89.5,2310.630864
90,2325.020914
90.5,2339.410964
91,2353.801014
91.5,2368.191064
92,2382.581114
92.5,2396.971164
93,2411.361214
93.5,2425.751264
94,2440.141314
94.5,2454.531364
95,2468.921414
95.5,2483.311464
96,2497.701514
96.5,2512.091564
97,2526.481614
97.5,2540.871664
98,2555.261714
98.5,2569.651764
99,2584.041814
99.5,2598.431864
100,2612.821914
100.5,2627.211964
101,2641.602014
101.5,2655.992064
102,2670.382114
102.5,2684.772164
103,2699.162214
103.5,2713.552264
104,2727.942314
104.5,2742.332364
105,2756.722414
105.5,2771.112464
106,2785.502514
106.5,2799.892564
107,2814.282614
107.5,2828.672664
108,2843.062714
108.5,2857.452764
109,2871.842814
109.5,2886.232864
110,2900.622914
110.5,2915.012964
111,2929.403014
111.5,2943.793064
112,2958.183114
112.5,2972.573164
113,2986.963214
113.5,3001.353264
114,3015.743314
114.5,3030.133364
115,3044.523414
115.5,3058.913464
116,3073.303514
116.5,3087.693564
117,3102.083614
117.5,3116.473664
118,3130.863714
118.5,3145.253764
119,3159.643814
119.5,3174.033864
120,3188.423914
