H(EL.m),V(m3)
45,1511545.912
45.1,1518142.592
45.2,1524877.367
45.3,1531749.769
45.4,1538759.331
45.5,1545905.587
45.6,1553188.069
45.7,1560606.311
45.8,1568159.846
45.9,1575848.207
46,1583670.926
46.1,1591627.538
46.2,1599717.574
46.3,1607940.569
46.4,1616296.055
46.5,1624783.566
46.6,1633402.633
46.7,1642152.792
46.8,1651033.574
46.9,1660044.512
47,1669185.141
47.1,1678454.992
47.2,1687853.599
47.3,1697380.496
47.4,1707035.214
47.5,1716817.288
47.6,1726726.25
47.7,1736761.633
47.8,1746922.971
47.9,1757209.796
48,1767621.642
48.1,1778158.041
48.2,1788818.528
48.3,1799602.634
48.4,1810509.893
48.5,1821539.839
48.6,1832692.003
48.7,1843965.92
48.8,1855361.122
48.9,1866877.142
49,1878513.514
49.1,1890269.771
49.2,1902145.445
49.3,1914140.069
49.4,1926253.178
49.5,1938484.304
49.6,1950832.979
49.7,1963298.738
49.8,1975881.113
49.9,1988579.637
50,2001393.843
50.1,2014323.265
50.2,2027367.435
50.3,2040525.887
50.4,2053798.154
50.5,2067183.768
50.6,2080682.263
50.7,2094293.172
50.8,2108016.029
50.9,2121850.365
51,2135795.714
51.1,2149851.61
51.2,2164017.585
51.3,2178293.173
51.4,2192677.906
51.5,2207171.317
51.6,2221772.941
51.7,2236482.309
51.8,2251298.955
51.9,2266222.412
52,2281252.213
52.1,2296387.891
52.2,2311628.979
52.3,2326975.011
52.4,2342425.519
52.5,2357980.037
52.6,2373638.097
52.7,2389399.232
52.8,2405262.977
52.9,2421228.863
53,2437296.424
53.1,2453465.193
53.2,2469734.704
53.3,2486104.488
53.4,2502574.08
53.5,2519143.011
53.6,2535810.817
53.7,2552577.029
53.8,2569441.18
53.9,2586402.804
54,2603461.434
54.1,2620616.602
54.2,2637867.843
54.3,2655214.689
54.4,2672656.672
54.5,2690193.327
54.6,2707824.186
54.7,2725548.783
54.8,2743366.649
54.9,2761277.32
55,2779280.327
55.1,2797375.203
55.2,2815561.483
55.3,2833838.698
55.4,2852206.382
55.5,2870664.069
55.6,2889211.29
55.7,2907847.58
55.8,2926572.471
55.9,2945385.496
56,2964286.188
56.1,2983274.082
56.2,3002348.709
56.3,3021509.602
56.4,3040756.296
56.5,3060088.322
56.6,3079505.214
56.7,3099006.505
56.8,3118591.729
56.9,3138260.417
57,3158012.104
57.1,3177846.323
57.2,3197762.606
57.3,3217760.486
57.4,3237839.497
57.5,3257999.172
57.6,3278239.043
57.7,3298558.645
57.8,3318957.509
57.9,3339435.17
58,3359991.16
58.1,3380625.012
58.2,3401336.259
58.3,3422124.435
58.4,3442989.072
58.5,3463929.704
58.6,3484945.863
58.7,3506037.084
58.8,3527202.898
58.9,3548442.839
59,3569756.44
59.1,3591143.234
59.2,3612602.754
59.3,3634134.534
59.4,3655738.106
59.5,3677413.003
59.6,3699158.759
59.7,3720974.907
59.8,3742860.979
59.9,3764816.509
60,3854400
60.1,3873158.619
60.2,3892313.675
60.3,3911869.964
60.4,3931832.282
60.5,3952205.425
60.6,3972994.19
60.7,3994203.374
60.8,4015837.773
60.9,4037902.183
61,4060401.4
61.1,4083340.221
61.2,4106723.443
61.3,4130555.862
61.4,4154842.274
61.5,4179587.475
61.6,4204796.262
61.7,4230473.432
61.8,4256623.781
61.9,4283252.105
62,4310363.2
62.1,4337961.863
62.2,4366052.891
62.3,4394641.08
62.4,4423731.226
62.5,4453328.125
62.6,4483436.574
62.7,4514061.37
62.8,4545207.309
62.9,4576879.187
63,4609081.8
63.1,4641819.945
63.2,4675098.419
63.3,4708922.018
63.4,4743295.538
63.5,4778223.775
63.6,4813711.526
63.7,4849763.588
63.8,4886384.757
63.9,4923579.829
64,4961353.6
64.1,4999710.867
64.2,5038656.427
64.3,5078195.076
64.4,5118331.61
64.5,5159070.825
64.6,5200417.518
64.7,5242376.486
64.8,5284952.525
64.9,5328150.431
65,5371975
65.1,5416431.029
65.2,5461523.315
65.3,5507256.654
65.4,5553635.842
65.5,5600665.675
65.6,5648350.95
65.7,5696696.464
65.8,5745707.013
65.9,5795387.393
66,5845742.4
66.1,5896776.831
66.2,5948495.483
66.3,6000903.152
66.4,6054004.634
66.5,6107804.725
