date,Qin,flg_2ji
1982/7/31 10:00,18,0
1982/7/31 11:00,18,0
1982/7/31 12:00,18,0
1982/7/31 13:00,18,0
1982/7/31 14:00,18,0
1982/7/31 15:00,18,0
1982/7/31 16:00,18,0
1982/7/31 17:00,18,0
1982/7/31 18:00,18,0
1982/7/31 19:00,18,0
1982/7/31 20:00,18,0
1982/7/31 21:00,18,0
1982/7/31 22:00,18,0
1982/7/31 23:00,18,0
1982/8/1 0:00,18,0
1982/8/1 1:00,18,0
1982/8/1 2:00,18,0
1982/8/1 3:00,18,0
1982/8/1 4:00,23,0
1982/8/1 5:00,41,0
1982/8/1 6:00,142,0
1982/8/1 7:00,419,0
1982/8/1 8:00,615,0
1982/8/1 9:00,528,0
1982/8/1 10:00,401,0
1982/8/1 11:00,313,0
1982/8/1 12:00,261,0
1982/8/1 13:00,237,0
1982/8/1 14:00,245,0
1982/8/1 15:00,311,0
1982/8/1 16:00,424,0
1982/8/1 17:00,515,0
1982/8/1 18:00,593,0
1982/8/1 19:00,689,0
1982/8/1 20:00,954,0
1982/8/1 21:00,1408,0
1982/8/1 22:00,1937,0
1982/8/1 23:00,2247,0
1982/8/2 0:00,2056,0
1982/8/2 1:00,1818,0
1982/8/2 2:00,1721,0
1982/8/2 3:00,1430,0
1982/8/2 4:00,1092,0
1982/8/2 5:00,838,0
1982/8/2 6:00,644,0
1982/8/2 7:00,499,0
1982/8/2 8:00,396,0
1982/8/2 9:00,322,0
1982/8/2 10:00,269,0
1982/8/2 11:00,230,0
1982/8/2 12:00,200,0
1982/8/2 13:00,176,0
1982/8/2 14:00,157,0
1982/8/2 15:00,142,0
1982/8/2 16:00,129,0
1982/8/2 17:00,118,0
1982/8/2 18:00,109,0
1982/8/2 19:00,101,0
1982/8/2 20:00,94,0
1982/8/2 21:00,88,0
1982/8/2 22:00,83,0
1982/8/2 23:00,78,0
1982/8/3 0:00,76,0
1982/8/3 1:00,86,0
1982/8/3 2:00,122,0
1982/8/3 3:00,172,0
1982/8/3 4:00,209,0
1982/8/3 5:00,230,0
1982/8/3 6:00,251,0
1982/8/3 7:00,314,0
1982/8/3 8:00,412,0
1982/8/3 9:00,481,0
1982/8/3 10:00,549,0
1982/8/3 11:00,585,0
1982/8/3 12:00,542,0
1982/8/3 13:00,469,0
1982/8/3 14:00,393,0
1982/8/3 15:00,326,0
1982/8/3 16:00,274,0
1982/8/3 17:00,236,0
1982/8/3 18:00,206,0
1982/8/3 19:00,182,0
1982/8/3 20:00,162,0
1982/8/3 21:00,148,0
1982/8/3 22:00,142,0
1982/8/3 23:00,141,0
1982/8/4 0:00,133,0
1982/8/4 1:00,123,0
1982/8/4 2:00,114,0
1982/8/4 3:00,106,0
1982/8/4 4:00,99,0
1982/8/4 5:00,92,0
1982/8/4 6:00,87,0
1982/8/4 7:00,82,0
1982/8/4 8:00,78,0
1982/8/4 9:00,74,0
1982/8/4 10:00,70,0
1982/8/4 11:00,67,0
1982/8/4 12:00,65,0
1982/8/4 13:00,62,0
1982/8/4 14:00,60,0
1982/8/4 15:00,57,0
1982/8/4 16:00,55,0
1982/8/4 17:00,53,0
1982/8/4 18:00,52,0
1982/8/4 19:00,50,0
1982/8/4 20:00,48,0
1982/8/4 21:00,47,0
1982/8/4 22:00,46,0
1982/8/4 23:00,45,0
1982/8/5 0:00,43,0
1982/8/5 1:00,42,0
1982/8/5 2:00,41,0
1982/8/5 3:00,41,0
1982/8/5 4:00,40,0
1982/8/5 5:00,39,0
1982/8/5 6:00,38,0
1982/8/5 7:00,37,0
1982/8/5 8:00,37,0
1982/8/5 9:00,36,0
1982/8/5 10:00,35,0
1982/8/5 11:00,35,0
1982/8/5 12:00,34,0
1982/8/5 13:00,34,0
1982/8/5 14:00,33,0
1982/8/5 15:00,33,0
1982/8/5 16:00,32,0
1982/8/5 17:00,32,0
1982/8/5 18:00,32,0
1982/8/5 19:00,31,0
1982/8/5 20:00,31,0
1982/8/5 21:00,31,0
