date,Qin,flg_2ji
2013/9/14 10:00,18,0
2013/9/14 11:00,18,0
2013/9/14 12:00,18,0
2013/9/14 13:00,18,0
2013/9/14 14:00,18,0
2013/9/14 15:00,18,0
2013/9/14 16:00,18,0
2013/9/14 17:00,18,0
2013/9/14 18:00,18,0
2013/9/14 19:00,18,0
2013/9/14 20:00,18,0
2013/9/14 21:00,18,0
2013/9/14 22:00,18,0
2013/9/14 23:00,18,0
2013/9/15 0:00,18,0
2013/9/15 1:00,18,0
2013/9/15 2:00,18,0
2013/9/15 3:00,18,0
2013/9/15 4:00,18,0
2013/9/15 5:00,18,0
2013/9/15 6:00,19,0
2013/9/15 7:00,23,0
2013/9/15 8:00,30,0
2013/9/15 9:00,36,0
2013/9/15 10:00,41,0
2013/9/15 11:00,42,0
2013/9/15 12:00,42,0
2013/9/15 13:00,45,0
2013/9/15 14:00,51,0
2013/9/15 15:00,59,0
2013/9/15 16:00,69,0
2013/9/15 17:00,80,0
2013/9/15 18:00,95,0
2013/9/15 19:00,112,0
2013/9/15 20:00,170,0
2013/9/15 21:00,414,0
2013/9/15 22:00,844,0
2013/9/15 23:00,1224,0
2013/9/16 0:00,1691,0
2013/9/16 1:00,2081,0
2013/9/16 2:00,2032,0
2013/9/16 3:00,1996,0
2013/9/16 4:00,2243,0
2013/9/16 5:00,2835,0
2013/9/16 6:00,3421,0
2013/9/16 7:00,3485,0
2013/9/16 8:00,2935,0
2013/9/16 9:00,2188,0
2013/9/16 10:00,1528,0
2013/9/16 11:00,1021,0
2013/9/16 12:00,723,0
2013/9/16 13:00,541,0
2013/9/16 14:00,421,0
2013/9/16 15:00,339,0
2013/9/16 16:00,281,0
2013/9/16 17:00,238,0
2013/9/16 18:00,206,0
2013/9/16 19:00,181,0
2013/9/16 20:00,161,0
2013/9/16 21:00,145,0
2013/9/16 22:00,131,0
2013/9/16 23:00,120,0
2013/9/17 0:00,111,0
2013/9/17 1:00,102,0
2013/9/17 2:00,95,0
2013/9/17 3:00,89,0
2013/9/17 4:00,84,0
2013/9/17 5:00,79,0
2013/9/17 6:00,75,0
2013/9/17 7:00,71,0
2013/9/17 8:00,68,0
2013/9/17 9:00,65,0
2013/9/17 10:00,62,0
2013/9/17 11:00,60,0
2013/9/17 12:00,57,0
2013/9/17 13:00,55,0
2013/9/17 14:00,53,0
2013/9/17 15:00,52,0
2013/9/17 16:00,50,0
2013/9/17 17:00,48,0
2013/9/17 18:00,47,0
2013/9/17 19:00,46,0
2013/9/17 20:00,45,0
2013/9/17 21:00,43,0
