date,Qin,flg_2ji
1953/8/14 10:00,18,0
1953/8/14 11:00,18,0
1953/8/14 12:00,18,0
1953/8/14 13:00,18,0
1953/8/14 14:00,18,0
1953/8/14 15:00,18,0
1953/8/14 16:00,19,0
1953/8/14 17:00,20,0
1953/8/14 18:00,22,0
1953/8/14 19:00,24,0
1953/8/14 20:00,27,0
1953/8/14 21:00,31,0
1953/8/14 22:00,37,0
1953/8/14 23:00,46,0
1953/8/15 0:00,591,0
1953/8/15 1:00,1600,0
1953/8/15 2:00,1242,0
1953/8/15 3:00,1299,0
1953/8/15 4:00,2002,0
1953/8/15 5:00,3131,0
1953/8/15 6:00,4309,0
1953/8/15 7:00,3840,0
1953/8/15 8:00,3085,0
1953/8/15 9:00,2443,0
1953/8/15 10:00,1820,0
1953/8/15 11:00,1331,0
1953/8/15 12:00,917,0
1953/8/15 13:00,659,0
1953/8/15 14:00,499,0
1953/8/15 15:00,394,0
1953/8/15 16:00,321,0
1953/8/15 17:00,268,0
1953/8/15 18:00,229,0
1953/8/15 19:00,199,0
1953/8/15 20:00,175,0
1953/8/15 21:00,157,0
1953/8/15 22:00,142,0
1953/8/15 23:00,129,0
1953/8/16 0:00,118,0
1953/8/16 1:00,109,0
1953/8/16 2:00,101,0
1953/8/16 3:00,94,0
1953/8/16 4:00,88,0
1953/8/16 5:00,83,0
1953/8/16 6:00,78,0
1953/8/16 7:00,74,0
1953/8/16 8:00,71,0
1953/8/16 9:00,67,0
1953/8/16 10:00,64,0
1953/8/16 11:00,62,0
1953/8/16 12:00,59,0
1953/8/16 13:00,57,0
1953/8/16 14:00,55,0
1953/8/16 15:00,53,0
1953/8/16 16:00,51,0
1953/8/16 17:00,50,0
1953/8/16 18:00,48,0
1953/8/16 19:00,47,0
1953/8/16 20:00,45,0
1953/8/16 21:00,44,0
