date,Qin,flg_2ji
1959/9/25 10:00,18,0
1959/9/25 11:00,18,0
1959/9/25 12:00,18,0
1959/9/25 13:00,18,0
1959/9/25 14:00,18,0
1959/9/25 15:00,18,0
1959/9/25 16:00,19,0
1959/9/25 17:00,21,0
1959/9/25 18:00,25,0
1959/9/25 19:00,33,0
1959/9/25 20:00,47,0
1959/9/25 21:00,64,0
1959/9/25 22:00,80,0
1959/9/25 23:00,88,0
1959/9/26 0:00,89,0
1959/9/26 1:00,94,0
1959/9/26 2:00,113,0
1959/9/26 3:00,131,0
1959/9/26 4:00,131,0
1959/9/26 5:00,125,0
1959/9/26 6:00,124,0
1959/9/26 7:00,135,0
1959/9/26 8:00,147,0
1959/9/26 9:00,147,0
1959/9/26 10:00,143,0
1959/9/26 11:00,153,0
1959/9/26 12:00,205,0
1959/9/26 13:00,312,0
1959/9/26 14:00,445,0
1959/9/26 15:00,666,0
1959/9/26 16:00,1015,0
1959/9/26 17:00,1409,0
1959/9/26 18:00,1720,0
1959/9/26 19:00,1938,0
1959/9/26 20:00,2078,0
1959/9/26 21:00,2094,0
1959/9/26 22:00,1860,0
1959/9/26 23:00,1608,0
1959/9/27 0:00,1348,0
1959/9/27 1:00,1136,0
1959/9/27 2:00,879,0
1959/9/27 3:00,659,0
1959/9/27 4:00,498,0
1959/9/27 5:00,389,0
1959/9/27 6:00,315,0
1959/9/27 7:00,262,0
1959/9/27 8:00,224,0
1959/9/27 9:00,195,0
1959/9/27 10:00,172,0
1959/9/27 11:00,153,0
1959/9/27 12:00,138,0
1959/9/27 13:00,126,0
1959/9/27 14:00,115,0
1959/9/27 15:00,107,0
1959/9/27 16:00,99,0
1959/9/27 17:00,92,0
1959/9/27 18:00,87,0
1959/9/27 19:00,82,0
1959/9/27 20:00,77,0
1959/9/27 21:00,73,0
